iter	Passed	Remaining
0	141	141142
1	142	71242
2	143	47810
3	144	36061
4	145	29047
5	146	24341
6	147	20987
7	148	18473
8	149	16501
9	151	14957
10	152	13690
11	153	12622
12	154	11708
13	155	10926
14	156	10247
15	156	9651
16	157	9119
17	158	8656
18	159	8231
19	160	7847
20	161	7510
21	161	7201
22	162	6919
23	163	6658
24	164	6416
25	165	6203
26	166	5999
27	167	5810
28	168	5631
29	168	5463
30	169	5309
31	170	5163
32	171	5025
33	172	4896
34	173	4776
35	174	4661
36	175	4555
37	175	4451
38	176	4353
39	177	4261
40	178	4176
41	179	4093
42	180	4015
43	181	3936
44	182	3866
45	183	3796
46	183	3727
47	184	3663
48	185	3602
49	186	3543
50	187	3486
51	188	3439
52	189	3386
53	190	3333
54	191	3291
55	192	3246
56	193	3204
57	194	3162
58	195	3119
59	196	3078
60	197	3038
61	198	2998
62	198	2959
63	199	2922
64	200	2887
65	202	2860
66	202	2825
67	203	2785
68	204	2754
69	204	2723
70	205	2694
71	206	2664
72	207	2637
73	208	2610
74	209	2586
75	210	2560
76	211	2535
77	212	2512
78	213	2487
79	215	2480
80	216	2456
81	217	2432
82	218	2418
83	220	2401
84	220	2378
85	221	2358
86	222	2334
87	223	2315
88	224	2295
89	225	2277
90	226	2259
91	227	2240
92	228	2226
93	229	2207
94	229	2189
95	231	2178
96	232	2161
97	233	2145
98	234	2136
99	235	2121
100	236	2106
101	237	2087
102	237	2071
103	238	2056
104	239	2042
105	240	2028
106	241	2014
107	242	2000
108	243	1986
109	243	1973
110	244	1960
111	245	1947
112	246	1934
113	247	1922
114	248	1914
115	249	1901
116	250	1889
117	251	1878
118	251	1864
119	252	1852
120	253	1841
121	254	1830
122	254	1816
123	255	1805
124	256	1795
125	257	1784
126	258	1773
127	258	1761
128	259	1751
129	260	1741
130	261	1732
131	262	1723
132	263	1714
133	263	1705
134	264	1697
135	265	1687
136	266	1678
137	267	1669
138	268	1660
139	269	1652
140	269	1644
141	270	1636
142	271	1628
143	272	1620
144	273	1612
145	274	1603
146	275	1596
147	276	1589
148	277	1582
149	277	1574
150	278	1567
151	279	1559
152	280	1552
153	281	1544
154	281	1537
155	282	1529
156	283	1522
157	284	1516
158	285	1509
159	286	1503
160	287	1495
161	287	1488
162	288	1482
163	289	1476
164	290	1470
165	291	1464
166	292	1457
167	293	1451
168	294	1449
169	295	1443
170	296	1437
171	297	1431
172	298	1425
173	298	1419
174	299	1413
175	301	1409
176	301	1404
177	302	1398
178	303	1393
179	304	1388
180	305	1381
181	306	1375
182	306	1369
183	307	1364
184	308	1358
185	309	1352
186	309	1347
187	310	1342
188	311	1337
189	312	1332
190	313	1327
191	314	1322
192	315	1317
193	315	1312
194	316	1307
195	317	1302
196	318	1298
197	319	1293
198	320	1289
199	321	1284
200	321	1279
201	322	1274
202	323	1269
203	324	1265
204	325	1261
205	325	1256
206	326	1252
207	327	1247
208	328	1243
209	329	1239
210	330	1235
211	331	1231
212	332	1227
213	333	1223
214	333	1219
215	335	1219
216	336	1214
217	338	1212
218	338	1208
219	339	1204
220	340	1200
221	341	1196
222	342	1192
223	342	1187
224	343	1183
225	344	1180
226	345	1176
227	346	1174
228	347	1171
229	348	1167
230	349	1164
231	350	1160
232	351	1156
233	352	1153
234	353	1151
235	354	1147
236	355	1143
237	356	1140
238	356	1136
239	357	1132
240	358	1129
241	359	1125
242	360	1122
243	361	1119
244	362	1115
245	363	1112
246	363	1109
247	364	1105
248	365	1102
249	366	1098
250	367	1095
251	367	1091
252	368	1088
253	369	1084
254	370	1081
255	370	1078
256	371	1075
257	372	1071
258	373	1068
259	374	1065
260	375	1062
261	376	1060
262	377	1057
263	378	1054
264	379	1051
265	380	1049
266	381	1046
267	382	1043
268	383	1041
269	384	1039
270	385	1037
271	386	1035
272	388	1033
273	388	1030
274	390	1028
275	391	1026
276	392	1023
277	392	1020
278	393	1017
279	394	1014
280	395	1011
281	396	1008
282	396	1005
283	397	1003
284	398	1000
285	399	997
286	400	994
287	401	991
288	402	989
289	403	988
290	404	986
291	405	984
292	406	981
293	407	979
294	408	976
295	409	974
296	411	972
297	412	970
298	412	967
299	413	965
300	414	963
301	415	960
302	416	959
303	417	956
304	418	954
305	420	952
306	421	951
307	422	948
308	423	946
309	424	944
310	425	942
311	426	940
312	427	938
313	428	935
314	429	933
315	430	930
316	431	928
317	431	926
318	432	924
319	433	921
320	434	919
321	435	917
322	436	915
323	437	912
324	438	910
325	439	908
326	440	906
327	441	903
328	442	901
329	442	899
330	443	896
331	444	894
332	445	892
333	446	889
334	447	887
335	447	885
336	448	883
337	449	881
338	450	879
339	451	877
340	452	875
341	453	872
342	455	872
343	456	870
344	457	867
345	457	865
346	458	863
347	459	861
348	460	859
349	461	856
350	462	854
351	463	852
352	464	851
353	465	849
354	466	846
355	466	844
356	467	842
357	468	840
358	469	838
359	470	836
360	471	834
361	472	832
362	473	830
363	474	828
364	475	826
365	476	824
366	476	822
367	477	820
368	479	819
369	480	817
370	481	815
371	482	813
372	483	812
373	484	810
374	485	809
375	486	807
376	487	805
377	488	803
378	489	801
379	490	800
380	491	798
381	492	796
382	493	794
383	494	793
384	495	791
385	496	789
386	497	788
387	498	786
388	499	784
389	500	782
390	501	780
391	502	778
392	503	777
393	504	775
394	505	773
395	506	772
396	507	770
397	509	769
398	510	768
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	516	759
405	517	757
406	519	756
407	520	755
408	521	753
409	522	751
410	523	750
411	524	748
412	525	746
413	526	745
414	527	743
415	528	741
416	529	740
417	530	738
418	531	737
419	533	736
420	534	734
421	535	733
422	536	731
423	537	729
424	538	728
425	539	726
426	540	725
427	541	723
428	542	721
429	543	720
430	544	718
431	545	716
432	546	716
433	548	714
434	549	713
435	550	711
436	551	709
437	552	708
438	553	707
439	554	705
440	555	704
441	556	703
442	557	701
443	558	699
444	559	698
445	560	696
446	562	695
447	563	693
448	564	692
449	565	691
450	566	689
451	567	688
452	568	687
453	570	686
454	571	684
455	572	683
456	573	681
457	574	680
458	575	678
459	576	677
460	578	675
461	579	674
462	580	673
463	581	671
464	582	670
465	584	669
466	585	668
467	586	666
468	587	665
469	588	663
470	589	662
471	590	660
472	591	658
473	592	657
474	593	655
475	594	654
476	595	652
477	596	651
478	597	649
479	598	648
480	599	647
481	601	646
482	602	644
483	603	643
484	604	641
485	605	640
486	606	639
487	607	637
488	609	636
489	610	635
490	611	633
491	612	632
492	613	630
493	614	629
494	615	627
495	616	626
496	617	625
497	618	623
498	619	622
499	620	620
500	621	619
501	622	617
502	623	616
503	624	614
504	625	613
505	626	611
506	627	610
507	628	608
508	629	607
509	630	605
510	631	604
511	632	603
512	633	601
513	634	600
514	636	599
515	637	597
516	638	596
517	640	595
518	641	594
519	642	592
520	642	591
521	643	589
522	645	588
523	645	586
524	646	585
525	647	583
526	648	582
527	649	580
